name,Id,positive,negative,bug
2,266,64,0,0
2,266,480.5555556,233.3333333,0
49,268,692.7777778,0,0
41,270,482.2222222,583.3333333,0
38,271,351.6666667,1466.666667,0
60,33,551.6666667,11.11111111,0
29,36,453.3333333,794.4444444,0
33,4,373.3333333,761.1111111,0
7,44,388.3333333,2333.333333,0
64,45,251.6666667,1647.222222,0
32,46,436.6666667,1558.333333,0
37,47,478.3333333,569.4444444,0
68,48,575.5555556,16.66666667,0
56,53,180,20630.55556,0
57,54,180,19025.55556,0
51,102,420,3183.333333,0
65,103,539.4444444,91.66666667,0
3,108,486.6666667,161.1111111,0
58,113,522.2222222,0,0
15,119,461.6666667,211.1111111,0
6,120,416.6666667,2247.222222,0
61,123,116.6666667,4172.222222,0
13,124,453.3333333,1075,0
36,125,461.6666667,244.4444444,0
52,132,280,200677.2222,0
66,134,364.4444444,1516.666667,0
31,136,500.5555556,150,0
50,220,163.3333333,24667.22222,0
53,221,568.3333333,5075,0
47,231,506.6666667,1825,0
62,232,427.2222222,1716.666667,0
35,243,385,1797.222222,0
25,244,478.3333333,133.3333333,0
21,251,436.6666667,500,0
26,253,506.1111111,58.33333333,0
27,254,508.8888889,133.3333333,0
19,255,433.3333333,2519.444444,0
63,248,191.6666667,1550,0
9,238,290,2611.111111,0
20,197,425,1055.555556,0
28,199,508.8888889,83.33333333,0
23,202,351.6666667,2302.777778,0
24,204,583.8888889,0,0
14,211,425,580.5555556,0
44,150,295,1575,0
43,156,498.8888889,25,0
8,157,425,480.5555556,0
12,158,486.6666667,350,0
59,159,450,208.3333333,0
22,161,481.1111111,316.6666667,0
34,168,416.6666667,772.2222222,0
4,6,405,1436.111111,0
17,12,351.6666667,1597.222222,0
45,16,180,21522.77778,0
16,94,461.6666667,463.8888889,0
10,95,196.6666667,3861.111111,0
48,87,428.3333333,3091.666667,0
39,57,351.1111111,441.6666667,0
40,59,616.6666667,0,0
55,71,646.1111111,1450,0
54,73,349.4444444,52575,0
5,79,380,1461.111111,0
1,81,256.6666667,10958.33333,0
42,92,396.1111111,3258.333333,0
67,141,415.5555556,833.3333333,0
18,143,415.5555556,1241.666667,0
30,138,508.8888889,200,0
46,186,550,77.77777778,0
11,227,475,150,0
1,52,14,0,0
1,52,670.5555556,0,0
2,152,325,4047.222222,0
3,61,170,5127.777778,17
4,144,414.4444444,2675,4
5,13,100,23435.55556,18
6,116,225,4540,4
1,203,913,0,0
1,203,245,7008.333333,0
2,65,125,2555.555556,1
3,114,309.4444444,2141.666667,2
4,195,494.4444444,383.3333333,0
5,166,230,7255.555556,4
6,82,397.7777778,891.6666667,1
7,183,140,104236.6667,25
8,135,286.6666667,4663.888889,1
9,22,651.6666667,244.4444444,0
10,26,301.6666667,547.2222222,0
11,176,617.2222222,0,0
12,169,193.3333333,2038.888889,0
13,75,276.6666667,2311.111111,0
14,25,136.6666667,8419.444444,5
15,11,246.6666667,430.5555556,1
16,170,373.3333333,2758.333333,4
17,21,180,20266.11111,8
18,153,246.6666667,8155.555556,4
19,68,200,7047.222222,6
20,213,462.7777778,375,2
21,177,186.6666667,11766.66667,4
22,142,240,2344.444444,1
23,174,426.1111111,1950,1
24,230,419.4444444,891.6666667,0
25,234,561.1111111,0,0
26,1,241.6666667,4125,0
27,146,286.1111111,7858.333333,5
28,85,100,24764.44444,5
1,110,384,0,0
1,110,397.2222222,2841.666667,0
2,165,395.5555556,1581.666667,2
3,226,352.2222222,2020,0
4,121,384.4444444,1465,1
5,184,225,10806.66667,6
6,83,403.3333333,450,0
7,28,242.2222222,3340,3
8,196,407.7777778,1158.333333,1
9,39,368.3333333,1579.444444,3
10,154,283.3333333,4408.333333,5
11,194,606.6666667,33.33333333,0
12,9,499.4444444,0,0
13,107,140,5177.777778,8
14,34,400,1895,0
15,111,406.6666667,303.3333333,0
16,259,312.7777778,1906.666667,2
17,60,240,697.7777778,0
18,193,299.4444444,790,0
19,51,386.1111111,1686.666667,2
20,207,401.1111111,561.6666667,0
21,155,210.5555556,5961.666667,1
22,17,190,8211.666667,5
23,187,280,2736.111111,0
24,118,155,5942.222222,2
25,267,190,4244.444444,6
26,128,333.3333333,1372.777778,1
27,40,270.5555556,1400,0
28,23,477.7777778,1425,5
29,256,384.4444444,375,0
30,171,246.6666667,1296.111111,0
31,115,368.3333333,1126.666667,2
32,97,443.8888889,676.6666667,1
33,173,186.6666667,7265,2
34,24,198.8888889,2973.333333,1
35,242,388.3333333,968.3333333,0
36,91,368.3333333,907.2222222,1
37,35,344.4444444,3306.666667,0
38,190,420.5555556,1258.333333,0
39,140,186.6666667,5172.222222,4
40,241,288.3333333,456.6666667,2
41,76,312.2222222,6633.333333,0
42,192,291.1111111,2823.333333,0
1,27,386,0,1
1,27,326.6666667,2803.333333,1
2,49,423.3333333,2153.333333,2
3,42,309.4444444,1170,2
4,198,248.3333333,4339.444444,1
5,14,341.6666667,2411.666667,1
6,19,428.8888889,2761.666667,3
7,38,428.8888889,3186.666667,0
8,77,412.2222222,2028.333333,0
9,122,413.8888889,3328.333333,1
10,172,285,5645,3
11,62,428.8888889,2128.333333,1
12,191,248.3333333,3667.222222,0
13,78,298.3333333,1170,1
14,147,412.2222222,2695,0
15,112,248.3333333,5075.555556,1
1,32,136,0,0
1,32,407.2222222,758.3333333,0
2,180,467.7777778,3400,3
3,206,300,1450,0
4,223,577.7777778,425,0
5,162,376.6666667,125,0
6,139,302.7777778,1941.666667,0
7,265,398.3333333,2288.888889,3
8,117,404.4444444,1058.333333,1
9,272,181.6666667,3205.555556,2
10,264,441.6666667,1238.888889,4
11,72,180,12889.44444,9
12,163,223.3333333,3730.555556,3
13,29,166.6666667,17009.44444,7
14,131,455,0,0
15,101,670.5555556,0,2
1,189,31,0,0
1,189,593.3333333,75,0
2,133,335,4091.666667,0
3,127,234.4444444,2416.666667,1
4,212,491.6666667,144.4444444,0
5,209,553.8888889,300,1
6,69,313.3333333,12202.77778,1
7,67,230,10588.88889,2
1,43,1107,0,8
1,43,120,8469.444444,8
2,20,120,164758.8889,45
3,164,347.7777778,1366.666667,0
4,109,681.6666667,0,0
5,208,255,766.6666667,1
6,175,614.4444444,0,0
7,210,120,14433.33333,16
8,50,270,4258.333333,0
9,179,503.8888889,1166.666667,0
10,10,493.8888889,675,0
