,name,id,wmc,dit,noc,cbo,rfc,lcom,npm,loc,bug
232,bsh.StringUtil,232,5,1,0,1,24,10,5,206,0
153,org.gjt.sp.jedit.JARClassLoader,153,14,2,0,11,88,35,8,889,4
6,bsh.BSHArrayDimensions,6,4,2,0,10,21,2,3,174,0
218,org.gjt.sp.jedit.msg.SearchSettingsChanged,218,1,3,0,4,2,0,1,5,0
243,bsh.BSHUnaryExpression,243,5,2,0,11,33,6,1,204,0
59,bsh.ClassPathException,59,1,4,0,3,2,0,1,5,0
185,gnu.regexp.CharIndexed,185,3,1,0,24,3,3,3,4,0
266,bsh.BlockNameSpace,266,3,2,0,4,10,3,2,40,0
268,bsh.NameSource,268,2,1,0,2,2,1,2,2,0
160,org.gjt.sp.jedit.pluginmgr.PluginManager,160,11,6,0,11,64,27,1,595,3
117,org.gjt.sp.jedit.search.HyperSearchResult,117,6,1,0,8,23,3,5,128,1
